,Job Title,Location,Snippet,Salary,Source,Job Type,Link,Company,Updated,JobID
10,Data Science Engineer,"San Francisco, CA","&nbsp;...Job Description 
 <b>Data Science </b>Engineer 
 San Francisco, CA 
$175,000 to $200,000 Base Salary + 10% Annual Bonus + Full Benefits Package 
 Primary/Essential Duties and Key Responsibilities: 
 Development of training and scoring services for Machine Learning Models...&nbsp;",,ziprecruiter.com,,"https://us.jooble.org/away/-8110722773024669949?p=1&pos=11&cid=253&ckey=Data+Science&age=266&relb=134&brelb=100&scr=1148,807728&bscr=857,3192&aq=17937031","ABCS, Inc.",2018-11-05T00:00:00.0000000,-8110722773024669949
11,Director of Data Science,"San Francisco, CA","&nbsp;...Job Description 

 Do you want to work for an outstanding Health Tech Company? 
 Qualifications 
 The ideal Director of <b>Data Science </b>at Savonix is an active, self-starter and visionary with a sense of urgency. He or she is not afraid to test and challenge new ideas...&nbsp;",,ziprecruiter.com,,"https://us.jooble.org/away/6726992633158707785?p=1&pos=12&cid=253&ckey=Data+Science&age=314&relb=134&brelb=100&scr=1146,4744396&bscr=855,57794&aq=17937031",Savonix,2018-11-03T00:00:00.0000000,6726992633158707785
12,Technical Consultant - Data Science,"Tucson, AZ","&nbsp;...Job Description 

 JOB TITLE:  Technical Consultant – <b>Data Science </b>
 STATUS:  Exempt, 40 hours a week 
 LOCATION:  Madison, WI, Portland, OR, Tucson, AZ 
 WORKS UNDER:  General Direction 
 
 The Technical Consultant – Data Science applies advanced expertise in...&nbsp;",,ziprecruiter.com,,"https://us.jooble.org/away/-8737383563034598841?p=1&pos=13&cid=253&ckey=Data+Science&age=26&relb=134&brelb=100&scr=1126,9404958&bscr=841,00037&aq=17937031",ILLUME Advising,2018-11-15T00:00:00.0000000,-8737383563034598841
13,"Director, Data Science","New York, NY","* 
Director, <b>Data Science </b>
======================
Location US-NY-New YorkPosted Date 17 hours ago(11/13/2018 5:46
PM)
Job ID 
2018-7384
# Positions 
1
Category 
Digital Business - Other 
Level 
Director 
Overview 
The Director, Data Science will be a global...&nbsp;",,resume-library.com,Full-time,"https://us.jooble.org/desc/-5331086036283505855?ckey=Data+Science&rgn=-1&pos=14&elckey=-8143475871738453332&aq=17937031&age=26&relb=126&brelb=100&bscr=894,1415&scr=1126,61829",Sony Music Entertainment,2018-11-15T00:00:00.0000000,-5331086036283505855
14,Data Science Lead,"Costa Mesa, CA","&nbsp;...our dynamic organization. You will find that being part of a very successful team is extremely rewarding. 
DESCRIPTION: 
The <b>Data Science </b>Lead will be responsible for managing analytical efforts for critical big data projects for the organization. Projects will be fast...&nbsp;",,resume-library.com,Full-time,"https://us.jooble.org/desc/2607366617350109318?ckey=Data+Science&rgn=-1&pos=15&elckey=-8143475871738453332&aq=17937031&age=26&relb=126&brelb=100&bscr=878,7277&scr=1107,196902",Automobile Club of Southern California - AAA,2018-11-15T00:00:00.0000000,2607366617350109318
15,Data Science Director,"New York, NY","&nbsp;...providers of investment management expertise and long-term financial security. 
NYLIM's Business Intelligence & Analytics team seeks a <b>Data Science </b>Director to lead the development and delivery of advanced analytics supporting Sales, Marketing, Product and Operations. This...&nbsp;",,resume-library.com,Full-time,"https://us.jooble.org/desc/6728234327451573196?ckey=Data+Science&rgn=-1&pos=16&elckey=-8143475871738453332&aq=17937031&age=122&relb=126&brelb=100&bscr=876,92676&scr=1104,9277176",New York Life,2018-11-11T00:00:00.0000000,6728234327451573196
16,Data Science Consultant,"Charlotte, NC","&nbsp;...opportunities for growth and development, recognition for your work, and competitive pay and benefits. 
Position Summary 
The <b>data science </b>consultant will support the growing analytics needs of the company. This position is responsible for business consulting activities...&nbsp;",,resume-library.com,Full-time,"https://us.jooble.org/desc/-3853866144958721697?ckey=Data+Science&rgn=-1&pos=17&elckey=-8143475871738453332&aq=17937031&age=290&relb=126&brelb=100&bscr=876,34357&scr=1104,1928982",Duke Energy,2018-11-04T00:00:00.0000000,-3853866144958721697
17,Data Science Internship,Washington DC,"The3Dprintingrevolutionhasstartedandwearelookingforvisionariestojoinus,tochangethewaytheworldmanufactures!
At HP, we are hiring visionaries who are willing to push boundaries to help us rewrite the rules of 3D Printing. Are you highly curious, able to work without borders...",,resume-library.com,Full-time,"https://us.jooble.org/desc/-7641090835700793423?ckey=Data+Science&rgn=-1&pos=18&elckey=-8143475871738453332&aq=17937031&age=290&relb=126&brelb=100&bscr=876,34357&scr=1104,1928982",HP,2018-11-04T00:00:00.0000000,-7641090835700793423
18,Consultant Data Science,"Hilliard, OH","What you'll be doing. 
We're looking for a qualified <b>data </b>scientist that can collaborate with multiple teams to lead in the development...&nbsp;&nbsp;...'s degree in Mathematics, Statistics, Economics, Computer <b>Science,</b> or four or more years of work experience. 
Four or more years...&nbsp;",,resume-library.com,Full-time,"https://us.jooble.org/desc/-4631641536677528418?ckey=Data+Science&rgn=-1&pos=19&elckey=-8143475871738453332&aq=17937031&age=362&relb=126&brelb=100&bscr=855,83154&scr=1078,3477404",Verizon,2018-11-01T00:00:00.0000000,-4631641536677528418
19,Data Science Intern,Washington DC,"Description 
We are seeking a <b>Data Science </b>Intern to join our team in Tacoma, WA. In this role you will have the opportunity to apply data mining and machine learning techniques. This team designs and builds complex models that learn from Infoblox networks and DNS data...&nbsp;",,resume-library.com,Full-time,"https://us.jooble.org/desc/8328186846737938831?ckey=Data+Science&rgn=-1&pos=20&elckey=-8143475871738453332&aq=17937031&age=434&relb=126&brelb=100&bscr=855,2834&scr=1077,657084",Infoblox,2018-10-29T06:36:40.3830000,8328186846737938831
20,"Director, Clinical Data Sciences","Foster, CA","&nbsp;...Bioinformatics at Gilead is seeking a highly motivated clinical <b>data </b>scientist to lead clinical data analysis. The successful candidate...&nbsp;&nbsp;..., bioinformatics, computational biology, genomics, computer <b>science,</b> or a related field with 8+ years of experience in the pharmaceutical...&nbsp;",,myworkdayjobs.com,Full-time,"https://us.jooble.org/desc/6018268929992539908?ckey=Data+Science&rgn=7492&pos=21&elckey=3517201040408386428&aq=17937032&age=230&relb=100&brelb=100&bscr=822,268&scr=822,268",Gilead,2018-11-06T12:02:03.2600000,6018268929992539908
21,Data Science Engineer,"San Francisco, CA","&nbsp;...<b>Data Science </b>Engineer 
 San Francisco, CA 

 Primary/Essential Duties and Key Responsibilities: 
 
 Development of training and scoring services for Machine Learning Models.  
 Implementing BlackBox and WhiteBox testing techniques to ensure quality throughout...&nbsp;",,workable.com,Full-time,"https://us.jooble.org/desc/3674918920854382827?ckey=Data+Science&rgn=7492&pos=22&elckey=3517201040408386428&aq=17937032&age=620&relb=100&brelb=100&bscr=812,3988&scr=812,3988","ABCS, Inc.",2018-10-21T06:18:43.7200000,3674918920854382827
22,"Manager, Data Science & Engineering","San Francisco, CA","&nbsp;...If you are a Manager, <b>Data Science </b>& Engineering with experience, please read on! We are hiring a technical manager with expertise in classification, clustering, NLP, optimization, forecasting, and search. The ideal candidate is comfortable providing general technical...&nbsp;",,Cybercoders.com,Full-time,"https://us.jooble.org/desc/-4799923666324967083?ckey=Data+Science&rgn=7492&pos=23&elckey=3517201040408386428&aq=17937032&age=338&relb=100&brelb=100&bscr=811,2724&scr=811,2724",CyberCoders,2018-11-02T00:00:00.0000000,-4799923666324967083
23,Sr. Data Science Generalist,"San Francisco, CA","&nbsp;...change the way QA is done. 
Learn more about Rainforest QA by visiting our LinkedIn, Glassdoor, Instagram, and Facebook pages.
<b>Data Science </b>Generalist

What you’ll do
~Experiment with the latest algorithms in computer vision, reinforcement learning and various...&nbsp;",,Rainforest QA,Full-time,"https://us.jooble.org/jdp/2963383327061151727/Sr.-Data-Science-Generalist-San-Francisco%2C-CA?ckey=Data+Science&rgn=7492&pos=24&elckey=3517201040408386428&aq=17937032&age=346&relb=100&brelb=100&bscr=799,8294&scr=799,8294",Rainforest QA,2018-11-01T16:31:19.9970000,2963383327061151727
24,Data Science Expert SAP Innovative Business Solutions Job,"Palo Alto, CA","&nbsp;...blockchain, artificial intelligence / machine learning, and big <b>data </b>and analytics. And we deliver our solutions quickly by employing...&nbsp;&nbsp;...To-Market) to generate new customer business in the area of data <b>science.</b> This position requires the ability to work and communicate as a...&nbsp;",,resume-library.com,Full-time,"https://us.jooble.org/desc/2521026971123398755?ckey=Data+Science&rgn=7492&pos=25&elckey=3517201040408386428&aq=17937032&age=674&relb=126&brelb=100&bscr=629,4961&scr=793,165086",SAP,2018-10-19T00:00:00.0000000,2521026971123398755
25,Data Science Lead- Upturn,"San Francisco, CA","&nbsp;...actively participate in the U.S. credit system. 

Requirements
Qualifications:
 
What you bring:
Min. 4 years engineering and <b>data science </b>experience as both an individual contributor and lead
Min. 4 years consumer or enterprise technology engineering experience...&nbsp;",,BBVA,,"https://us.jooble.org/jdp/6803067188258068762/Data-Science-Lead+-Upturn-San-Francisco%2C-CA?ckey=Data+Science&rgn=7492&pos=26&elckey=3517201040408386428&aq=17937032&age=531&relb=100&brelb=100&bscr=792,3637&scr=792,3637",BBVA,2018-10-24T23:16:36.8370000,6803067188258068762
26,Data Science Internship (Summer 2019),"Redwood City, CA","Poshmark is seeking <b>Data Science </b>Interns for Summer 2019. We are a rapidly growing multiplatform social fashion marketplace and working on interesting data science problems to improve user experiences. The role will be dynamic and varied, requiring a versatile self-starter...&nbsp;",,Poshmark Inc,,"https://us.jooble.org/jdp/7810786641808621290/Data-Science-Internship-(Summer-2019)-Redwood-City%2C-CA?ckey=Data+Science&rgn=7492&pos=27&elckey=3517201040408386428&aq=17937032&age=31&relb=100&brelb=100&bscr=790,9792&scr=790,9792",Poshmark Inc,2018-11-14T19:22:09.7591942+02:00,7810786641808621290
27,Director of Data Science and Machine Learning,"San Francisco, CA","&nbsp;...puts people first, we want to meet you.
Chime is a technology and <b>data-</b>driven consumer bank. We are amassing vast amounts of data  that...&nbsp;&nbsp;...and implement novel machine learning algorithms, drive data <b>science </b>analysis for decision-making, and build real-time models through...&nbsp;",,Chime,,"https://us.jooble.org/jdp/-1185677103796221065/Director-of-Data-Science-and-Machine-Learning-San-Francisco%2C-CA?ckey=Data+Science&rgn=7492&pos=28&elckey=3517201040408386428&aq=17937032&age=61&relb=100&brelb=100&bscr=789,7651&scr=789,7651",Chime,2018-11-13T13:01:11.0306035+02:00,-1185677103796221065
28,Director - Data Science,"San Francisco, CA","&nbsp;...Job Category 
 Products and Technology 
 Job Details 
 Sr. Director - Product Owner, Product <b>Data Science </b>

 Department Overview - Product Data Science 
 The Data Intelligence (DI) team is made up of data scientists, engineers, and analysts who are dedicated to...&nbsp;",,myworkdayjobs.com,Full-time,"https://us.jooble.org/desc/5795440800735538757?ckey=Data+Science&rgn=7492&pos=29&elckey=3517201040408386428&aq=17937032&age=698&relb=100&brelb=100&bscr=786,9709&scr=786,9709",Salesforce,2018-10-18T00:21:22.9600000,5795440800735538757
29,People Data Analyst - Recruiting (Data Science),"San Francisco, CA","&nbsp;...process through analytics. We’ve made significant investments in our <b>data </b>warehouse, technology infrastructure, and data management...&nbsp;&nbsp;...Organizational Psychology, Marketing Research, Behavioral Economics, Social <b>Sciences </b>(e.g., Anthropology, Sociology), or Data Science 5+ years of...&nbsp;",,dropbox.com,,"https://us.jooble.org/desc/-1611349796071409034?ckey=Data+Science&rgn=7492&pos=30&elckey=3517201040408386428&aq=17937032&age=266&relb=100&brelb=100&bscr=780,17065&scr=780,17065",Dropbox,2018-11-05T00:00:00.0000000,-1611349796071409034
30,"Intern, Software Engineering, Data Science","Mountain View, CA","&nbsp;...’re a software engineer or researcher who’s curious and passionate about Level 4 autonomous driving, we'd like to meet you. The <b>Data Science </b>team at Waymo works to extract actionable insights with quantitative methods, and enable data-driven decision-making. We are actively...&nbsp;",,Waymo,,"https://us.jooble.org/jdp/-7494240839131275749/Intern%2C-Software-Engineering%2C-Data-Science-Mountain-View%2C-CA?ckey=Data+Science&rgn=7492&pos=31&elckey=3517201040408386428&aq=17937032&age=62&relb=100&brelb=100&bscr=779,31696&scr=779,31696",Waymo,2018-11-13T12:25:44.3258327+02:00,-7494240839131275749
31,"Manager, Data Sciences and Advanced Analytics","Palo Alto, CA","&nbsp;...business analytics and information innovation center at VMware, lead <b>data,</b> business intelligence, and advanced analytics efforts to drive...&nbsp;&nbsp;...variety of business intelligence, advanced analytics, and data <b>sciences </b>projects. Exposure to operations analytics, channel sales, and/...&nbsp;",,myworkdayjobs.com,Full-time,"https://us.jooble.org/desc/-6443822048495077717?ckey=Data+Science&rgn=7492&pos=32&elckey=3517201040408386428&aq=17937032&age=258&relb=100&brelb=100&bscr=776,35913&scr=776,35913",VMware,2018-11-05T08:26:18.0730000,-6443822048495077717
32,"Sr Director, Data Science Engineering","San Francisco, CA","&nbsp;...Job Category 
 Products and Technology 
 Job Details 
 Sr. Director, <b>Data Science </b>Engineering 
 Department Overview: Data Science Engineering – Data Intelligence 

 The  Data Science Engineering  function is responsible for acquiring, integrating, and aggregating...&nbsp;",,myworkdayjobs.com,Full-time,"https://us.jooble.org/desc/9046135233593875444?ckey=Data+Science&rgn=7492&pos=33&elckey=3517201040408386428&aq=17937032&age=231&relb=100&brelb=100&bscr=773,8273&scr=773,8273",Salesforce,2018-11-06T11:20:12.1959696+02:00,9046135233593875444
33,"Manager, Data Science - Strategic Finance","San Francisco, CA","&nbsp;...us, and let’s move the world forward, together. 

 

 About the Role 
 This is an exciting opportunity to lead and grow a <b>Data Science </b>team that supports critical financial decisions. The leader of this team will manage a team of data scientists that tackle challenging...&nbsp;",,uber.com,,"https://us.jooble.org/desc/-6030999881606552067?ckey=Data+Science&rgn=7492&pos=34&elckey=3517201040408386428&aq=17937032&age=340&relb=100&brelb=100&bscr=765,17664&scr=765,17664",Uber,2018-11-01T22:38:53.9573461+02:00,-6030999881606552067
34,Data Science Lead,"San Francisco, CA","Niantic’s Engineering Team is seeking a <b>Data </b>Scientist to lead a team responsible for analyzing and predicting user behavior to not only...&nbsp;&nbsp;...of your models.

Qualifications
You have a PhD in computer <b>science,</b> applied mathematics, or statistics with a thesis in behavioral...&nbsp;",,Niantic,,"https://us.jooble.org/jdp/5636594969431581737/Data-Science-Lead-San-Francisco%2C-CA?ckey=Data+Science&rgn=7492&pos=35&elckey=3517201040408386428&aq=17937032&age=886&relb=100&brelb=100&bscr=760,5518&scr=760,5518",Niantic,2018-10-10T04:07:09.7670000,5636594969431581737
35,"Sr. Analyst, Data Science","San Francisco, CA","&nbsp;...the right thing to the right person at the right time by turning <b>data </b>into action. Optimizely is looking for mid to senior level Data...&nbsp;&nbsp;...business performance 
 Implement predictive models using data <b>science </b>and machine learning algorithms on customer and product data sets...&nbsp;",,smartrecruiters.com,Full-time,"https://us.jooble.org/desc/7424307972658453478?ckey=Data+Science&rgn=7492&pos=36&elckey=3517201040408386428&aq=17937032&age=722&relb=100&brelb=100&bscr=757,725&scr=757,725",Optimizely,2018-10-17T02:52:09.4800000,7424307972658453478
36,Product Data Scientist - Ads Data Science,"San Francisco, CA","&nbsp;...optimizes supply/demand, operation points and trade-offs for the ads marketplace, as well as improve product outcomes by applying <b>data science.</b> We routinely deliver significant improvements to our revenue, and work in a close sync with our executive staff (including our...&nbsp;",,Twitter Inc,,"https://us.jooble.org/jdp/-4800007751000486718/Product-Data-Scientist-+-Ads-Data-Science-San-Francisco%2C-CA?ckey=Data+Science&rgn=7492&pos=37&elckey=3517201040408386428&aq=17937032&age=394&relb=100&brelb=100&bscr=757,3887&scr=757,3887",Twitter Inc,2018-10-30T16:41:11.9570000,-4800007751000486718
37,Data Science,"Palo Alto, CA","&nbsp;...this huge market by putting the user at the center of product design. We are creating a company built on technology, design, and <b>data science </b>so users can get the coverage they want and need.
What You'll Do
~Know and understand our data elements and architecture...&nbsp;",,Ladder,,"https://us.jooble.org/jdp/3832618693331182257/Data-Science-Palo-Alto%2C-CA?ckey=Data+Science&rgn=7492&pos=38&elckey=3517201040408386428&aq=17937032&age=4048&relb=100&brelb=100&bscr=755,85596&scr=755,85596",Ladder,2018-05-31T09:57:05.1600000,3832618693331182257
38,Science Teacher,"San Francisco, CA","&nbsp;...and get a head start in being considered for one of the teaching positions that we expect to become available shortly. 
 Successful <b>science </b>teacher candidates have: 
 a deep knowledge in their science subject matter (biology, chemistry, and/or physics)
 are capable of...&nbsp;",,ziprecruiter.com,,"https://us.jooble.org/away/-7131410710906850121?p=2&pos=39&cid=253&ckey=Data+Science&age=218&relb=134&brelb=100&scr=755,28564&bscr=563,646&aq=17937032",CalWest Educators Placement,2018-11-07T00:00:00.0000000,-7131410710906850121
39,Data Science,"San Francisco, CA","&nbsp;...is to improve safety for today's vehicles, while collecting the <b>data </b>need to power tomorrow’s self-driving solutions.
We are looking...&nbsp;&nbsp;...feature concepts and iterate rapidly
•   Grow and manage a data <b>science </b>team as we scale, define and own the deliverables and manage the...&nbsp;",,Caruma,Full-time,"https://us.jooble.org/jdp/4171052216978092926/Data-Science-San-Francisco%2C-CA?ckey=Data+Science&rgn=7492&pos=40&elckey=3517201040408386428&aq=17937032&age=14466&relb=100&brelb=100&bscr=750,8203&scr=750,8203",Caruma,2017-03-23T08:49:17.9830000,4171052216978092926
40,Data Science Tech Lead Manager - Routing,"San Francisco, CA","&nbsp;...long haul. We’re reimagining how people and things move from one place to the next. 

 

 About the Role 

 You'll be the <b>data science </b>technical lead or manager for the team, working closely with software engineering and product managers to create and execute the...&nbsp;",,uber.com,,"https://us.jooble.org/desc/2087678338275354152?ckey=Data+Science&rgn=7492&pos=41&elckey=3517201040408386428&aq=17937033&age=52&relb=100&brelb=100&bscr=747,5103&scr=747,5103",Uber,2018-11-13T22:27:23.9715130+02:00,2087678338275354152
41,"Data Science Internship, Card Machine Learning","San Francisco, CA","&nbsp;...helping our customers achieve their goals and realize their dreams. Together, we are on a quest to change banking for good. 

 <b>Data Science </b>Internship, Card Machine Learning 

 Job Description 

 As a Data Scientist at Capital One, you’ll be part of a high-...&nbsp;",,myworkdayjobs.com,Full-time,"https://us.jooble.org/desc/-7031287294491782854?ckey=Data+Science&rgn=7492&pos=42&elckey=3517201040408386428&aq=17937033&age=224&relb=100&brelb=100&bscr=735,44836&scr=735,44836",Capitalone,2018-11-06T18:02:49.9285728+02:00,-7031287294491782854
42,"Data Analyst, Data Analytics/Data Science","Redwood City, CA",&nbsp;...APPLY HERE: Are you the type of person who feels they could solve any problem if they just had the right <b>data?</b> Are you curious by nature? We are seeking a strong analyst to help us better understand and manage the Poshmark business through rigorous data analysis and...&nbsp;,,catsone.com,,"https://us.jooble.org/desc/-2126237312920239563?ckey=Data+Science&rgn=7492&pos=43&elckey=3517201040408386428&aq=17937033&age=818&relb=100&brelb=100&bscr=732,51215&scr=732,51215",@HIRE,2018-10-13T00:00:00.0000000,-2126237312920239563
43,Data Engineer (Data Science Group),"Mountain View, CA","&nbsp;...ambitious goal of helping innovators build a better world with <b>data </b>started in 2009. Today, we are one of the fastest growing enterprise...&nbsp;&nbsp;...and communication skills to join us in building up a data <b>science </b>practice.  Our charter is to partner with IT to create a marketing...&nbsp;",,Pure Storage,,"https://us.jooble.org/jdp/-6092447157721989851/Data-Engineer-(Data-Science-Group)-Mountain-View%2C-CA?ckey=Data+Science&rgn=7492&pos=44&elckey=3517201040408386428&aq=17937033&age=755&relb=100&brelb=100&bscr=731,8067&scr=731,8067",Pure Storage,2018-10-15T15:13:30.9970000,-6092447157721989851
44,"Data Science Manager, Analytics","Menlo Park, CA","&nbsp;...into real products on a regular basis. The perfect candidate will have a background in computer <b>science </b>or a related technical field, will have experience working with large <b>data </b>stores, and will have some experience building software. You are scrappy, focused on results,...&nbsp;",,facebook.com,,"https://us.jooble.org/desc/2853800378556087936?ckey=Data+Science&rgn=7492&pos=45&elckey=3517201040408386428&aq=17937033&age=785&relb=100&brelb=100&bscr=729,78894&scr=729,78894",Facebook,2018-10-14T09:45:38.7874308+03:00,2853800378556087936
45,"Technical Program Manager, Data Science","Mountain View, CA","Technical Program Manager, <b>Data Science </b>
 Mountain View, United States • Engineering • Full Time 
 Apply for this job    
 
 As a Technical Program Manager, you will serve as a partner to the Analytics and Data Science team. This role is at the cross roads of Business...&nbsp;",,Atlassian,,"https://us.jooble.org/jdp/7208221098018429464/Technical-Program-Manager%2C-Data-Science-Mountain-View%2C-CA?ckey=Data+Science&rgn=7492&pos=46&elckey=3517201040408386428&aq=17937033&age=572&relb=100&brelb=100&bscr=723,7912&scr=723,7912",Atlassian,2018-10-23T05:54:16.7030000,7208221098018429464
46,Head of Data Sciences,"San Francisco, CA","""Overview: This role is suited for a Leader in <b>Data </b>and Analytics who will create and launch the next generation of web analytics services...&nbsp;&nbsp;...company. 
 Things you need to have: Masters degree in Computer <b>Science,</b> Physics, Electrical Engineering, Statistics, or Mathematics,...&nbsp;",,catsone.com,,"https://us.jooble.org/desc/-3428923788134411486?ckey=Data+Science&rgn=7492&pos=47&elckey=3517201040408386428&aq=17937033&age=1538&relb=100&brelb=100&bscr=721,8817&scr=721,8817",Global Placement Firm,2018-09-13T00:00:00.0000000,-3428923788134411486
47,Head of Data Science,"San Francisco, CA","&nbsp;..., product, government relations and ground operations as we rapidly expand across the country. 

Responsibilities
~Build our <b>data science </b>stack - people, process and technology
~Work cross-functionally with peers (platform engineers, data infrastructure, business teams...&nbsp;",,Skip,Full-time,"https://us.jooble.org/jdp/2729060226551758484/Head-of-Data-Science-San-Francisco%2C-CA?ckey=Data+Science&rgn=7492&pos=48&elckey=3517201040408386428&aq=17937033&age=1853&relb=100&brelb=100&bscr=721,8817&scr=721,8817",Skip,2018-08-30T21:37:29.2030000,2729060226551758484
48,"Director, Data Science","Mountain View, CA","&nbsp;...world’s largest marketplace for remote work, we have 10+ years of <b>data </b>on how people get work done online. At Upwork, over 1M hours of...&nbsp;&nbsp;...from Stanford and Berkeley in fields ranging from computer <b>science </b>and statistics to economics
Your job will be to lead a team of...&nbsp;",,Upwork,Full-time,"https://us.jooble.org/jdp/484728181283961331/Director%2C-Data-Science-Mountain-View%2C-CA?ckey=Data+Science&rgn=7492&pos=49&elckey=3517201040408386428&aq=17937033&age=1914&relb=100&brelb=100&bscr=721,8817&scr=721,8817",Upwork,2018-08-28T08:20:53.1930000,484728181283961331
